"id","nama","kecamatan_id","longitude","latitude"
"480","MANGGIS HARAPAN","1103090",NULL,NULL
"481","UJUNG BATU","1103090",NULL,NULL
"482","DALAM","1103090",NULL,NULL
"483","KOTA PALAK","1103090",NULL,NULL
"484","CACANG","1103090",NULL,NULL
"485","TENGAH PISANG","1103090",NULL,NULL
"486","PISANG","1103090",NULL,NULL
"487","HULU PISANG","1103090",NULL,NULL
"488","KEUMUMU HILIR","1103091",NULL,NULL
"489","PAYA PEULUMAT","1103091",NULL,NULL
"490","TENGAH PEULUMAT","1103091",NULL,NULL
"491","PADANG PEULUMAT","1103091",NULL,NULL
"492","LIMAU SARING","1103091",NULL,NULL
"493","AUR PEULUMAT","1103091",NULL,NULL
"494","KEUMUMU HULU","1103091",NULL,NULL
"495","BEUTONG","1103091",NULL,NULL
"496","PEUNALOP","1103091",NULL,NULL
"497","GUNUNG ROTAN","1103091",NULL,NULL
"498","KEUMUMU SEBERANG","1103091",NULL,NULL
"499","SAWANG INDAH","1103091",NULL,NULL
"500","PULO IE","1103092",NULL,NULL
"501","SUAK LOKAN","1103092",NULL,NULL
"502","IKU LHUNG","1103092",NULL,NULL
"503","PANTE GEULIMA","1103092",NULL,NULL
"504","BLANG BARU","1103092",NULL,NULL
"505","BLANG POROH","1103092",NULL,NULL
"506","KUTA IBOH","1103092",NULL,NULL
"507","TUTONG","1103092",NULL,NULL
"508","UJUNG PADANG","1103092",NULL,NULL
"509","TENGAH IBOH","1103092",NULL,NULL
"510","PEULOKAN","1103092",NULL,NULL
"511","KUTA TRIENG","1103092",NULL,NULL
"512","PANTON PAWOH","1103092",NULL,NULL
"513","BATEE MEUCANANG","1103092",NULL,NULL
"514","PANTON RUBEK","1103092",NULL,NULL
"515","MUARA BARU","1104010",NULL,NULL
"516","PASIR BANGUN","1104010",NULL,NULL
"517","NGKERAN","1104010",NULL,NULL
"518","LAWE KONGKIR","1104010",NULL,NULL
"519","KUBU","1104010",NULL,NULL
"520","KUTA CINGKAM II","1104010",NULL,NULL
"521","KUTA CINGKAM I","1104010",NULL,NULL
"522","LAWE SEMPILANG","1104010",NULL,NULL
"523","KUTA BATU II","1104010",NULL,NULL
"524","KUTA BATU I","1104010",NULL,NULL
"525","PRAPAT BATU NUNGGUL","1104010",NULL,NULL
"526","PULO SEPANG","1104010",NULL,NULL
"527","PAYA MUNJE","1104010",NULL,NULL
"528","DARUL AMIN","1104010",NULL,NULL
"529","LAWE LUBANG INDAH","1104010",NULL,NULL
"530","BATU HAMPARAN","1104010",NULL,NULL
"531","RIH MBELANG","1104010",NULL,NULL
"532","KUTE BATU BARU","1104010",NULL,NULL
"533","RUMAH KAMPUNG","1104010",NULL,NULL
"534","PASEKH PEKHMATE","1104010",NULL,NULL
"535","PASIR NUNGGUL","1104010",NULL,NULL
"536","LAWE KONGKIR HILIR","1104010",NULL,NULL
"537","PULO NDADAP","1104010",NULL,NULL
"538","PINTU KHIMBE","1104010",NULL,NULL
"539","PULO GADUNG","1104010",NULL,NULL
"540","CINGKAM MERANGGUN","1104010",NULL,NULL
"541","PASIR NUNANG","1104010",NULL,NULL
"542","DELENG KUKUSEN","1104010",NULL,NULL
"543","PENGUHAPAN","1104011",NULL,NULL
"544","SALIM PIPIT","1104011",NULL,NULL
"545","LAWE SUMUR","1104011",NULL,NULL
"546","UNING SIGUGUR","1104011",NULL,NULL
"547","KUTA LANG LANG","1104011",NULL,NULL
"548","LUMBAN SITIO TIO","1104011",NULL,NULL
"549","MERANTI","1104011",NULL,NULL
"550","PERDAMEAN","1104011",NULL,NULL
"551","MUTIARA DAMAI","1104011",NULL,NULL
"552","LUMBAN TUA","1104011",NULL,NULL
"553","DOLOK NAULI","1104011",NULL,NULL
"554","TUHI JONGKAT","1104011",NULL,NULL
"555","TITI MAS","1104011",NULL,NULL
"556","LAWE MALUN","1104011",NULL,NULL
"557","ALUR BANING","1104011",NULL,NULL
"558","SIGAI INDAH","1104011",NULL,NULL
"559","SUMUR ALAS","1104011",NULL,NULL
"560","TUAH MESADE","1104011",NULL,NULL
"561","LINGGA ALAS","1104011",NULL,NULL
"562","RAMBUNG TUBUNG","1104011",NULL,NULL
"563","SPERINDING","1104011",NULL,NULL
"564","TANAH SUBUR","1104011",NULL,NULL
"565","PINGGAN MBLANG","1104011",NULL,NULL
"566","UKIR DELENG","1104011",NULL,NULL
"567","ALAS MESIKHAT","1104011",NULL,NULL
